,,RMSE,MAE,R2,RMSE,MAE,R2,RMSE,MAE,R2,,,"CONCAT(A3,B3,A3,C3,A3,D3,A3,E3,A3,F3,A3,G3,A3,H3,A3,I3,A3,J3,A3,K3,A3)"
 | ,EPA,5.12,3.60,0.37,6.16,4.01,0.40,6.45,4.06,0.43,,, | EPA | 5.12 | 3.60 | 0.37 | 6.16 | 4.01 | 0.40 | 6.45 | 4.06 | 0.43 | 
 | ,EPA_Retrained,4.52,3.32,0.38,5.28,3.44,0.40,5.36,3.49,0.43,,, | EPA_Retrained | 4.52 | 3.32 | 0.38 | 5.28 | 3.44 | 0.40 | 5.36 | 3.49 | 0.43 | 
 | ,Linear,4.52,3.31,0.38,5.30,3.46,0.40,5.36,3.49,0.43,,, | Linear | 4.52 | 3.31 | 0.38 | 5.30 | 3.46 | 0.40 | 5.36 | 3.49 | 0.43 | 
 | ,Linear_Interact,4.50,3.27,0.38,5.30,3.43,0.40,5.33,3.46,0.43,,, | Linear_Interact | 4.50 | 3.27 | 0.38 | 5.30 | 3.43 | 0.40 | 5.33 | 3.46 | 0.43 | 
 | ,Random_Forest,4.28,3.09,0.44,5.12,3.34,0.44,5.10,3.33,0.48,,, | Random_Forest | 4.28 | 3.09 | 0.44 | 5.12 | 3.34 | 0.44 | 5.10 | 3.33 | 0.48 | 
 | ,Gradient_Boosting,4.25,3.07,0.45,5.14,3.31,0.43,5.13,3.32,0.47,,, | Gradient_Boosting | 4.25 | 3.07 | 0.45 | 5.14 | 3.31 | 0.43 | 5.13 | 3.32 | 0.47 | 
 | ,Neural_Network,4.28,3.08,0.44,5.10,3.32,0.44,5.14,3.31,0.47,,, | Neural_Network | 4.28 | 3.08 | 0.44 | 5.10 | 3.32 | 0.44 | 5.14 | 3.31 | 0.47 | 
,,,,,,,,,,,,,
,,,,,,,,,,,,, | EPA | 5.12 | 3.60 | 0.37 | 6.16 | 4.01 | 0.40 | 6.45 | 4.06 | 0.43 | 
,,,,,,,,,,,,, | EPA_Retrained | 4.52 | 3.32 | 0.38 | 5.28 | 3.44 | 0.40 | 5.36 | 3.49 | 0.43 | 
,,,,,,,,,,,,, | Linear | 4.52 | 3.31 | 0.38 | 5.30 | 3.46 | 0.40 | 5.36 | 3.49 | 0.43 | 
,,,,,,,,,,,,, | Linear_Interact | 4.50 | 3.27 | 0.38 | 5.30 | 3.43 | 0.40 | 5.33 | 3.46 | 0.43 | 
,,,,,,,,,,,,, | Random_Forest | 4.28 | 3.09 | 0.44 | 5.12 | 3.34 | 0.44 | 5.10 | 3.33 | 0.48 | 
,,,,,,,,,,,,, | Gradient_Boosting | 4.25 | 3.07 | 0.45 | 5.14 | 3.31 | 0.43 | 5.13 | 3.32 | 0.47 | 
,,,,,,,,,,,,, | Neural_Network | 4.28 | 3.08 | 0.44 | 5.10 | 3.32 | 0.44 | 5.14 | 3.31 | 0.47 | 
